ue_name,ue_number,beam_index,x,y,z,dropped_packets,sent_packets,bit_rate,channel_mag,score,packets
uav1,0,14,14.000890250783414,-28.000000001236778,6.396264457702637,0.0,143.0,0.16448965045894945,0.0695041436601549,0.06579586018357979,143.0
simulation_car1,1,29,47.932854,1.0235162,8.407621,0.0,302.0,0.1470004808607764,0.06340384905065605,0.05880019234431057,152.0
simulation_pedestrian1,2,31,2.903349,33.66375,7.4372497,0.0,493.0,0.7826734266629657,0.7164457413755974,0.3130693706651863,182.0
uav1,0,14,14.00087808916578,-28.00000000123361,6.3963665008544925,0.0,459.0,0.16952115640577003,0.07129427966515668,0.06780846256230802,156.0
simulation_car1,1,29,47.932827,0.9865356,8.40762,0.0,434.0,0.13941407667447456,0.06080941665233999,0.055765630669789824,145.0
simulation_pedestrian1,2,31,2.9021719,33.648403,7.4372497,0.0,467.0,0.7186263339564865,0.5731196284178273,0.2874505335825946,169.0
uav1,0,14,14.000862120999955,-28.00000000123002,6.39582052230835,0.0,495.0,0.1535200464093248,0.06565713629631463,0.06140801856372992,174.0
simulation_car1,1,29,47.93278,0.9330351,8.40762,0.0,472.0,0.10550201481776646,0.04947199864480347,0.04220080592710659,143.0
simulation_pedestrian1,2,31,2.9004693,33.6262,7.4372497,0.0,408.0,0.7181542497369513,0.5721762200685977,0.2872616998947805,137.0
uav1,0,14,14.000850340758916,-28.00000000122964,6.394792699813843,0.0,479.0,0.09361299483950904,0.045543751993979045,0.037445197935803615,161.0
simulation_car1,1,29,47.932755,0.89605284,8.40762,0.0,475.0,0.15979216115822423,0.06784772299414933,0.06391686446328969,165.0
simulation_pedestrian1,2,31,2.8992922,33.610863,7.4372497,0.0,437.0,0.7219261502251701,0.5797569279756825,0.28877046009006807,135.0
uav1,0,15,14.00083872245159,-28.00000000123396,6.393221759796143,0.0,471.0,0.060028368213337915,0.034231979216799345,0.024011347285335168,171.0
simulation_car1,1,29,47.932724,0.8585827,8.407619,0.0,447.0,0.08169991469133613,0.04159141794114506,0.032679965876534454,166.0
simulation_pedestrian1,2,31,2.8981,33.59532,7.4372497,0.0,432.0,0.8058359516639932,0.7765846988694918,0.32233438066559733,134.0
uav1,0,15,14.000823469541501,-28.000000001247816,6.390281105041504,0.0,440.0,0.13867513544494192,0.06055816953305443,0.05547005417797677,143.0
simulation_car1,1,29,47.932693,0.8160393,8.40762,0.0,459.0,0.1274326685957295,0.056763690355306144,0.0509730674382918,154.0
simulation_pedestrian1,2,31,2.896108,33.569347,7.4372497,0.0,447.0,0.669366401593971,0.4824916949340244,0.2677465606375884,146.0
uav1,0,15,14.000812200538348,-28.000000001262734,6.3874410629272464,0.0,490.0,0.16143623209448166,0.06842586639959698,0.06457449283779267,177.0
simulation_car1,1,29,47.93266,0.76877457,8.407623,0.0,449.0,0.10661562474333913,0.04984015144481306,0.042646249897335654,141.0
simulation_pedestrian1,2,31,2.894631,33.550087,7.4372497,0.0,421.0,0.7218787410908512,0.5796610337704133,0.28875149643634046,149.0
uav1,0,15,14.000797396933194,-28.0000000012863,6.382808828353882,0.0,456.0,0.10026454807697187,0.047741563740602296,0.04010581923078875,155.0
simulation_car1,1,29,47.93261,0.7045852,8.407624,0.0,465.0,0.16562201285549843,0.06990555403354926,0.06624880514219937,154.0
simulation_pedestrian1,2,31,2.8932018,33.531456,7.4372497,0.0,474.0,0.7272598823632964,0.5906459863533741,0.29090395294531857,153.0
uav1,0,14,14.000786458724178,-28.00000000130525,6.378701114654541,0.0,454.0,0.188719102318303,0.07829137788011581,0.0754876409273212,148.0
simulation_car1,1,29,47.932564,0.6521323,8.407622,0.0,479.0,0.1646358014136836,0.0695559055261114,0.06585432056547345,167.0
simulation_pedestrian1,2,31,2.891534,33.50971,7.4372497,0.0,448.0,0.6955570981171018,0.528764323916305,0.2782228392468407,157.0
uav1,0,15,14.000775660038926,-28.00000000132555,6.3740509986877445,0.0,434.0,0.08207649462313696,0.04171693543649145,0.03283059784925479,151.0
simulation_car1,1,29,47.932533,0.61387455,8.407622,0.0,476.0,0.12235425320649877,0.05506469246729697,0.04894170128259951,153.0
simulation_pedestrian1,2,31,2.889795,33.487034,7.4372497,0.0,474.0,0.7306908821541886,0.5977569625875877,0.29227635286167547,186.0
uav1,0,15,14.000764998840168,-28.000000001348283,6.368859195709229,0.0,464.0,0.05854518356855187,0.0337137361544718,0.02341807342742075,147.0
simulation_car1,1,29,47.932487,0.5622693,8.40762,0.0,469.0,0.14207887778436015,0.06171756295909308,0.056831551113744064,156.0
simulation_pedestrian1,2,31,2.8881977,33.46621,7.4372497,0.0,453.0,0.790241999083454,0.7355703876421771,0.31609679963338166,144.0
uav1,0,14,14.00075447250856,-28.00000000137515,6.363126420974732,0.0,413.0,0.11608751939615299,0.05297829574115064,0.0464350077584612,137.0
simulation_car1,1,29,47.932446,0.5118521,8.4076185,0.0,473.0,0.20998551366580964,0.08639301166456519,0.08399420546632386,171.0
simulation_pedestrian1,2,31,2.8865633,33.4449,7.4372497,0.0,487.0,0.7008302206471121,0.5385949507800898,0.28033208825884487,147.0
uav1,0,15,14.00074407865759,-28.00000000140801,6.356853389739991,0.0,494.0,0.10361531552485219,0.04884849046305067,0.04144612620994088,155.0
simulation_car1,1,29,47.932396,0.4536038,8.407619,0.0,454.0,0.17344696109730684,0.0727030286940001,0.06937878443892274,145.0
simulation_pedestrian1,2,32,2.8852227,33.42742,7.4372497,0.0,430.0,0.6866908435604059,0.5126314912126128,0.27467633742416236,155.0
uav1,0,14,14.00073381542461,-28.00000000144735,6.350041294097901,0.0,436.0,0.1400988869373116,0.06104248042084877,0.056039554774924644,145.0
simulation_car1,1,29,47.932365,0.41461214,8.407619,0.0,456.0,0.14374387769155944,0.06228669573623934,0.05749755107662378,146.0
simulation_pedestrian1,2,32,2.8839834,33.411263,7.4372497,0.0,498.0,0.7231796953986538,0.5822981530615317,0.28927187815946154,156.0
uav1,0,13,14.00072366168024,-28.00000000149123,6.342896127700806,0.0,485.0,0.09771768335789001,0.04690026780242424,0.039087073343156004,168.0
simulation_car1,1,29,47.93234,0.37711608,8.4076185,0.0,463.0,0.15725981655768653,0.06696046412634017,0.06290392662307462,144.0
simulation_pedestrian1,2,32,2.8822136,33.38819,7.4372497,0.0,465.0,0.7158394228795147,0.5675724131977778,0.2863357691518059,164.0
uav1,0,14,14.000710254069418,-28.000000001551502,6.333250904083252,0.0,476.0,0.14037929305504895,0.06113797418292011,0.05615171722201959,166.0
simulation_car1,1,29,47.932274,0.3060998,8.407618,0.0,472.0,0.06794148407449545,0.036958575673822165,0.02717659362979818,169.0
simulation_pedestrian1,2,31,2.8805351,33.366306,7.4372497,0.0,473.0,0.7394747621263638,0.6163497228147989,0.2957899048505455,147.0
